id_no,reviewer,review_url,package,onboarding_url,review_hours
67,Corinna Gries,https://github.com/ropensci/onboarding/issues/80#issuecomment-260506062,EML,https://github.com/ropensci/onboarding/issues/80,
68,Michael Koontz,https://github.com/ropensci/onboarding/issues/82#issuecomment-263965301,ccafs,https://github.com/ropensci/onboarding/issues/82,4.5
69,Manuel Fernandez,https://github.com/ropensci/onboarding/issues/82#issuecomment-262725221,ccafs,https://github.com/ropensci/onboarding/issues/82,5.0
70,Thomas Leeper,,JSTORr,https://github.com/ropensci/onboarding/issues/86,
71,Kenneth Benoit,https://github.com/ropensci/onboarding/issues/86#issuecomment-286576753,JSTORr,https://github.com/ropensci/onboarding/issues/86,
74,Sean Hughes,https://github.com/ropensci/onboarding/issues/87#issuecomment-272673260,visdat,https://github.com/ropensci/onboarding/issues/87,7.5
75,Mara Averick,https://github.com/ropensci/onboarding/issues/87#issuecomment-274800380,visdat,https://github.com/ropensci/onboarding/issues/87,8.0
76,Julia Silge,https://github.com/ropensci/onboarding/issues/92#issuecomment-284916451,wordVectors,https://github.com/ropensci/onboarding/issues/92,2.0
77,Jeroen Ooms,https://github.com/ropensci/onboarding/issues/92#issuecomment-280616216,wordVectors,https://github.com/ropensci/onboarding/issues/92,
88,Ted Underwood,https://github.com/ropensci/onboarding/issues/92#issuecomment-285137772,wordVectors,https://github.com/ropensci/onboarding/issues/92,2.0
78,Naupaka Zimmerman,https://github.com/ropensci/onboarding/issues/93#issuecomment-287643466,biomartr,https://github.com/ropensci/onboarding/issues/93,12.0
79,Mike Smith,https://github.com/ropensci/onboarding/issues/93#issuecomment-285396555,biomartr,https://github.com/ropensci/onboarding/issues/93,8.0
82,Kent Russel,https://github.com/ropensci/onboarding/issues/95#issuecomment-285187561,lingtypology,https://github.com/ropensci/onboarding/issues/95,4.0
83,Taras Zakharko,https://github.com/ropensci/onboarding/issues/95#issuecomment-288040371,lingtypology,https://github.com/ropensci/onboarding/issues/95,3.0
94,???,https://github.com/ropensci/onboarding/issues/95#issuecomment-288040371,lingtypology,https://github.com/ropensci/onboarding/issues/95,3.0
84,Laura DeCicco,https://github.com/ropensci/onboarding/issues/96#issuecomment-280703196,getCRUCLdata,https://github.com/ropensci/onboarding/issues/96,1.0
85,Ivan Hanigan,https://github.com/ropensci/onboarding/issues/96#issuecomment-281212614,getCRUCLdata,https://github.com/ropensci/onboarding/issues/96,3.0
86,Tristan Mahr,https://github.com/ropensci/onboarding/issues/94#issuecomment-283799109,charlatan,https://github.com/ropensci/onboarding/issues/94,8.0
